# t,Benzaldehyde(dcm),NButylamine(dcm),A_N(dcm),A_N_N(dcm),Water(dcm),A_N_W(dcm),A_N_N_W(dcm),A_N_W_W(dcm),TS1_#(dcm),Hemiaminal(dcm),TS2_#(dcm),I_W(dcm),TS1N_#(dcm),Int_N(dcm),TS2N_#(dcm),I_N_W(dcm),TS1W_#(dcm),Int_W(dcm),TS2W_#(dcm),I_W_W(dcm),TS1NW_#(dcm),Int_N_W(dcm),TS2NW_#(dcm),I_N_W_W(dcm),TS1WW_#(dcm),Int_W_W(dcm),TS2WW_#(dcm),I_W_W_W(dcm),Imine(dcm)
1.541840781190146042e-03,5.999440710862406767e-02,5.999422958204193856e-02,5.408569966515007764e-06,1.762293285975408829e-07,9.999915855910170709e-04,2.220475389088188582e-09,1.008082268928838649e-11,2.793321551605132248e-11,0.000000000000000000e+00,4.959890674402218286e-17,0.000000000000000000e+00,2.047481096436564980e-17,0.000000000000000000e+00,9.311378168994897255e-10,0.000000000000000000e+00,1.066865052584536932e-17,0.000000000000000000e+00,3.319865344796703695e-09,0.000000000000000000e+00,1.306493896293208239e-13,0.000000000000000000e+00,3.551947716623183834e-10,0.000000000000000000e+00,8.401124339766409782e-13,0.000000000000000000e+00,6.896443457649986834e-10,0.000000000000000000e+00,5.364816792566466258e-10,2.965881099883467204e-13
1.734570878838914351e-03,5.999374054096535958e-02,5.999355377766472236e-02,6.065052258445318250e-06,1.852265311217912288e-07,9.999905347534993744e-04,2.285667654236950312e-09,1.008114083590897996e-11,2.793483433213547534e-11,0.000000000000000000e+00,6.263879365941696443e-17,0.000000000000000000e+00,3.220076307151830229e-17,0.000000000000000000e+00,1.124896912312235544e-09,0.000000000000000000e+00,1.468245126371520174e-17,0.000000000000000000e+00,3.946498242290607446e-09,0.000000000000000000e+00,1.770271709076807211e-13,0.000000000000000000e+00,4.007219676148865096e-10,0.000000000000000000e+00,1.069486959759583329e-12,0.000000000000000000e+00,7.295812781753468871e-10,0.000000000000000000e+00,6.532050566566461636e-10,4.113568733780576406e-13
1.788542336123616306e-03,5.999355491902950283e-02,5.999336584587793009e-02,6.248126703261528553e-06,1.874676568380348545e-07,9.999902405062833718e-04,2.300875727201192856e-09,1.008095276284236003e-11,2.793422086054337594e-11,0.000000000000000000e+00,6.655741409945937880e-17,0.000000000000000000e+00,3.620545957135262391e-17,0.000000000000000000e+00,1.180808822654116007e-09,0.000000000000000000e+00,1.594599388482379447e-17,0.000000000000000000e+00,4.125013322675919676e-09,0.000000000000000000e+00,1.914575863596923424e-13,0.000000000000000000e+00,4.134662813746593481e-10,0.000000000000000000e+00,1.138667142889961173e-12,0.000000000000000000e+00,7.396348275484825106e-10,0.000000000000000000e+00,6.870184018130021398e-10,4.475925010682815402e-13
1.927300976487682661e-03,5.999307971638748876e-02,5.999288520028844829e-02,6.717275455765504807e-06,1.927309564830703076e-07,9.999894840568540177e-04,2.334827138588024583e-09,1.008036412026966430e-11,2.793233067468558046e-11,0.000000000000000000e+00,7.716595041137881522e-17,0.000000000000000000e+00,4.813749285914927687e-17,0.000000000000000000e+00,1.327514683779875286e-09,0.000000000000000000e+00,1.948371381984728646e-17,0.000000000000000000e+00,4.589093477902966570e-09,0.000000000000000000e+00,2.314998814627809087e-13,0.000000000000000000e+00,4.462210359515709937e-10,0.000000000000000000e+00,1.326457373664372592e-12,0.000000000000000000e+00,7.634369158304368206e-10,0.000000000000000000e+00,7.759869625392401960e-10,5.492459901699677785e-13
2.120031074136450970e-03,5.999242436068578932e-02,5.999222332918991568e-02,7.365267232987033259e-06,1.989905961842514790e-07,9.999884334926970823e-04,2.371914583497590183e-09,1.008009869535905581e-11,2.793207659693489589e-11,0.000000000000000000e+00,9.317072899794105107e-17,0.000000000000000000e+00,6.907217384211782389e-17,0.000000000000000000e+00,1.537518166654968454e-09,0.000000000000000000e+00,2.510914838828746600e-17,0.000000000000000000e+00,5.243701690572058961e-09,0.000000000000000000e+00,2.942465955232154125e-13,0.000000000000000000e+00,4.916904030797904014e-10,0.000000000000000000e+00,1.611000834189268346e-12,0.000000000000000000e+00,7.921329486606113088e-10,0.000000000000000000e+00,9.038982862858483977e-10,7.113433952537800389e-13
2.122883313586163001e-03,5.999241470175409319e-02,5.999221358196910048e-02,7.374825318436359014e-06,1.990750517989030799e-07,9.999884179462106750e-04,2.372390429928835549e-09,1.008009572709586745e-11,2.793207481933775696e-11,0.000000000000000000e+00,9.341863293970565465e-17,0.000000000000000000e+00,6.942355620602578961e-17,0.000000000000000000e+00,1.540674574468046792e-09,0.000000000000000000e+00,2.519876362446904090e-17,0.000000000000000000e+00,5.253461951358611869e-09,0.000000000000000000e+00,2.952381190665139028e-13,0.000000000000000000e+00,4.923630905653959980e-10,0.000000000000000000e+00,1.615418763824464683e-12,0.000000000000000000e+00,7.925232937016460040e-10,0.000000000000000000e+00,9.058253785115896720e-10,7.139292323933295362e-13
2.312761171785218846e-03,5.999177422945325272e-02,5.999156770313631565e-02,8.009055161976768306e-06,2.042235715567149143e-07,9.999873830545428707e-04,2.400112595363702193e-09,1.007981955095144986e-11,2.793163647180250053e-11,0.000000000000000000e+00,1.106435152682489633e-16,0.000000000000000000e+00,9.581582858750711122e-17,0.000000000000000000e+00,1.753611818630887819e-09,0.000000000000000000e+00,3.159186820398996302e-17,0.000000000000000000e+00,5.907149440991452276e-09,0.000000000000000000e+00,3.654108124127019204e-13,0.000000000000000000e+00,5.371306260911179998e-10,0.000000000000000000e+00,1.923094228133692217e-12,0.000000000000000000e+00,8.164993735950709841e-10,0.000000000000000000e+00,1.036110534427106141e-09,8.986188800870711210e-13
2.505491269433987155e-03,5.999112913685902826e-02,5.999091797770855078e-02,8.648666479487480106e-06,2.085894183895210413e-07,9.999863327386803759e-04,2.421396480179661114e-09,1.007945783469164580e-11,2.793086673621325659e-11,0.000000000000000000e+00,1.295748081881045093e-16,0.000000000000000000e+00,1.292280635374643900e-16,0.000000000000000000e+00,1.974848082560784280e-09,0.000000000000000000e+00,3.895794462392976971e-17,0.000000000000000000e+00,6.577467153454761141e-09,0.000000000000000000e+00,4.450808379752529117e-13,0.000000000000000000e+00,5.825418044960603877e-10,0.000000000000000000e+00,2.262714545995130303e-12,0.000000000000000000e+00,8.371578857790639506e-10,0.000000000000000000e+00,1.172001461963774312e-09,1.111800748650211076e-12
2.519724287248341962e-03,5.999108169225089021e-02,5.999087022124618279e-02,8.695736577739401782e-06,2.088813752402637144e-07,9.999862551781629055e-04,2.422740355070398736e-09,1.007943103495326982e-11,2.793081007816653852e-11,0.000000000000000000e+00,1.310304471618644360e-16,0.000000000000000000e+00,1.319839018834785434e-16,0.000000000000000000e+00,1.991366870320137338e-09,0.000000000000000000e+00,3.953761283103838750e-17,0.000000000000000000e+00,6.627196081351840118e-09,0.000000000000000000e+00,4.513037556998106434e-13,0.000000000000000000e+00,5.858942424600568526e-10,0.000000000000000000e+00,2.288886187773151532e-12,0.000000000000000000e+00,8.385518912352727601e-10,0.000000000000000000e+00,1.182167361945071875e-09,1.128589420195399578e-12
2.698221367082755465e-03,5.999048891665038907e-02,5.999027384748537028e-02,9.284128264827073260e-06,2.122281367199970931e-07,9.999852825421093935e-04,2.437410823674273100e-09,1.007912180653883790e-11,2.793021283417382074e-11,0.000000000000000000e+00,1.499551604017065199e-16,0.000000000000000000e+00,1.701851466649874743e-16,0.000000000000000000e+00,2.200395439253387116e-09,0.000000000000000000e+00,4.723110415426935140e-17,0.000000000000000000e+00,7.253015030166961268e-09,0.000000000000000000e+00,5.333298594426567805e-13,0.000000000000000000e+00,6.279238601953842678e-10,0.000000000000000000e+00,2.629838821764935155e-12,0.000000000000000000e+00,8.546587198080423050e-10,0.000000000000000000e+00,1.311019777565822669e-09,1.351534218943119016e-12
2.890951464731523774e-03,5.998985341260870685e-02,5.998963502708527101e-02,9.915467569490892614e-06,2.152696611480150196e-07,9.999842324623425469e-04,2.449580819783942146e-09,1.007879472945844091e-11,2.792958156129596543e-11,0.000000000000000000e+00,1.717751335939087743e-16,0.000000000000000000e+00,2.195715523386375925e-16,0.000000000000000000e+00,2.429482156046089365e-09,0.000000000000000000e+00,5.643386243814605162e-17,0.000000000000000000e+00,7.932372040814349353e-09,0.000000000000000000e+00,6.302210338995606823e-13,0.000000000000000000e+00,6.732768398743667345e-10,0.000000000000000000e+00,3.024444076361155096e-12,0.000000000000000000e+00,8.695180368486750978e-10,0.000000000000000000e+00,1.452648842107555436e-09,1.618423904883386877e-12
2.990748687464998661e-03,5.998952615399123778e-02,5.998930625065321959e-02,1.024076908584914443e-05,2.166439765457187737e-07,9.999836887678310426e-04,2.454696338424116340e-09,1.007862404498549021e-11,2.792924710818920995e-11,0.000000000000000000e+00,1.836363283407138248e-16,0.000000000000000000e+00,2.487558983564530441e-16,0.000000000000000000e+00,2.549293653790174156e-09,0.000000000000000000e+00,6.157079870535243186e-17,0.000000000000000000e+00,8.285321989574579003e-09,0.000000000000000000e+00,6.838023325034069379e-13,0.000000000000000000e+00,6.967495727158910444e-10,0.000000000000000000e+00,3.239565449635743966e-12,0.000000000000000000e+00,8.763125628130116954e-10,0.000000000000000000e+00,1.526873055821276801e-09,1.767455010848120894e-12
3.083681562380292084e-03,5.998922250011890639e-02,5.998900129405933257e-02,1.054271117188397275e-05,2.178124100574112547e-07,9.999831824979486892e-04,2.458828502620851269e-09,1.007846484262092514e-11,2.792893334001450237e-11,0.000000000000000000e+00,1.950253827137434439e-16,0.000000000000000000e+00,2.782988596729692455e-16,0.000000000000000000e+00,2.661523699449257428e-09,0.000000000000000000e+00,6.658495388378058854e-17,0.000000000000000000e+00,8.614618880745441261e-09,0.000000000000000000e+00,7.357945172612968603e-13,0.000000000000000000e+00,7.186007844567397877e-10,0.000000000000000000e+00,3.446507365599806551e-12,0.000000000000000000e+00,8.821365892174561467e-10,0.000000000000000000e+00,1.596487505359363743e-09,1.912939152007349686e-12
