# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
2.901736137381499925e-08,5.634912183067570801e-01,1.634912183067571134e-01,0.000000000000000000e+00,3.365087816932428866e-01,4.365087816932428644e-01
2.938587896003293273e-08,5.616054213259437100e-01,1.616054213259438266e-01,0.000000000000000000e+00,3.383945786740562012e-01,4.383945786740561790e-01
3.039595896946574587e-08,5.565778119082052111e-01,1.565778119082053277e-01,0.000000000000000000e+00,3.434221880917946446e-01,4.434221880917946224e-01
3.101842779114587289e-08,5.535788784855675271e-01,1.535788784855676714e-01,0.000000000000000000e+00,3.464211215144323286e-01,4.464211215144323064e-01
3.184005291767076616e-08,5.497318887387562247e-01,1.497318887387562858e-01,0.000000000000000000e+00,3.502681112612436864e-01,4.502681112612436642e-01
3.265097662225881635e-08,5.460546541297277567e-01,1.460546541297278178e-01,0.000000000000000000e+00,3.539453458702722100e-01,4.539453458702721877e-01
3.335275491121947804e-08,5.429644015043704197e-01,1.429644015043705085e-01,0.000000000000000000e+00,3.570355984956294915e-01,4.570355984956294693e-01
3.428352545337175320e-08,5.389920801790412108e-01,1.389920801790412441e-01,0.000000000000000000e+00,3.610079198209587559e-01,4.610079198209587337e-01
3.493732447757666518e-08,5.362843838996078638e-01,1.362843838996079249e-01,0.000000000000000000e+00,3.637156161003921029e-01,4.637156161003920807e-01
3.591607428448469666e-08,5.323531991812153752e-01,1.323531991812154363e-01,0.000000000000000000e+00,3.676468008187845360e-01,4.676468008187845138e-01
3.659717600242000946e-08,5.297009820655160794e-01,1.297009820655162238e-01,0.000000000000000000e+00,3.702990179344837762e-01,4.702990179344837540e-01
3.754862311559764013e-08,5.261059368150075022e-01,1.261059368150075355e-01,0.000000000000000000e+00,3.738940631849924645e-01,4.738940631849924423e-01
3.833588608686178947e-08,5.232243380758219153e-01,1.232243380758220319e-01,0.000000000000000000e+00,3.767756619241779403e-01,4.767756619241779181e-01
3.918117194671057697e-08,5.202202324337714678e-01,1.202202324337715705e-01,0.000000000000000000e+00,3.797797675662284433e-01,4.797797675662284211e-01
4.015720125420776420e-08,5.168626147869879173e-01,1.168626147869881032e-01,0.000000000000000000e+00,3.831373852130118829e-01,4.831373852130118607e-01
4.081372077782352044e-08,5.146687735839848843e-01,1.146687735839850564e-01,0.000000000000000000e+00,3.853312264160149159e-01,4.853312264160148937e-01
4.206504602285964701e-08,5.106251347515226024e-01,1.106251347515227329e-01,0.000000000000000000e+00,3.893748652484772532e-01,4.893748652484772310e-01
4.244626960893645728e-08,5.094278715935022239e-01,1.094278715935023683e-01,0.000000000000000000e+00,3.905721284064976317e-01,4.905721284064976095e-01
4.406353136275628843e-08,5.045202622340051457e-01,1.045202622340052623e-01,0.000000000000000000e+00,3.954797377659947100e-01,4.954797377659946878e-01
4.407881844004940075e-08,5.044751543137668826e-01,1.044751543137669991e-01,0.000000000000000000e+00,3.955248456862329731e-01,4.955248456862329509e-01
4.571136727116234421e-08,4.997901304311418436e-01,9.979013043114196013e-02,0.000000000000000000e+00,4.002098695688580676e-01,5.002098695688580454e-01
4.615696355357545688e-08,4.985555728792557262e-01,9.855557287925584276e-02,0.000000000000000000e+00,4.014444271207441850e-01,5.014444271207441073e-01
4.734391610227528106e-08,4.953552749525768073e-01,9.535527495257686836e-02,0.000000000000000000e+00,4.046447250474231039e-01,5.046447250474230817e-01
4.834985346378345607e-08,4.927397570718533570e-01,9.273975707185341810e-02,0.000000000000000000e+00,4.072602429281465541e-01,5.072602429281466430e-01
4.897646493338822452e-08,4.911535267145679673e-01,9.115352671456802836e-02,0.000000000000000000e+00,4.088464732854319439e-01,5.088464732854319772e-01
5.060901376450116137e-08,4.871691320967711514e-01,8.716913209677124019e-02,0.000000000000000000e+00,4.128308679032287598e-01,5.128308679032287376e-01
5.064692627052689120e-08,4.870790765409493961e-01,8.707907654094947103e-02,0.000000000000000000e+00,4.129209234590505151e-01,5.129209234590504929e-01
5.224156259561410484e-08,4.833886674086054214e-01,8.338866740860548243e-02,0.000000000000000000e+00,4.166113325913944898e-01,5.166113325913945786e-01
5.305313164131073081e-08,4.815811583774851079e-01,8.158115837748519672e-02,0.000000000000000000e+00,4.184188416225148033e-01,5.184188416225148366e-01
5.387411142672704830e-08,4.797991761134015598e-01,7.979917611340159311e-02,0.000000000000000000e+00,4.202008238865983514e-01,5.202008238865984957e-01
5.550666025783998515e-08,4.763883571608638623e-01,7.638835716086393723e-02,0.000000000000000000e+00,4.236116428391360489e-01,5.236116428391360822e-01
5.557365439940180371e-08,4.762520466814966213e-01,7.625204668149666853e-02,0.000000000000000000e+00,4.237479533185032898e-01,5.237479533185034342e-01
5.713920908895292861e-08,4.731455788954282982e-01,7.314557889542835922e-02,0.000000000000000000e+00,4.268544211045716130e-01,5.268544211045717018e-01
5.821392569593934274e-08,4.710977227671480638e-01,7.109772276714815264e-02,0.000000000000000000e+00,4.289022772328518474e-01,5.289022772328518807e-01
5.877175792006586546e-08,4.700608480306550652e-01,7.006084803065508460e-02,0.000000000000000000e+00,4.299391519693448460e-01,5.299391519693449348e-01
6.040430675117880892e-08,4.671246165575538289e-01,6.712461655755389001e-02,0.000000000000000000e+00,4.328753834424460822e-01,5.328753834424461155e-01
6.097963471282580775e-08,4.661235659105551488e-01,6.612356591055518207e-02,0.000000000000000000e+00,4.338764340894447624e-01,5.338764340894448512e-01
6.203685558229174577e-08,4.643281643899065392e-01,6.432816438990657248e-02,0.000000000000000000e+00,4.356718356100933720e-01,5.356718356100934608e-01
6.366940441340469585e-08,4.616637243996474238e-01,6.166372439964746405e-02,0.000000000000000000e+00,4.383362756003524874e-01,5.383362756003525762e-01
6.387674092161511809e-08,4.613343893636231985e-01,6.133438936362321098e-02,0.000000000000000000e+00,4.386656106363767127e-01,5.386656106363768570e-01
6.530195324451763270e-08,4.591237990375509059e-01,5.912379903755096006e-02,0.000000000000000000e+00,4.408762009624490052e-01,5.408762009624491496e-01
