# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
6.298091098719078202e-09,4.731455788954316288e-01,7.314557889543145397e-02,0.000000000000000000e+00,4.268544211045685044e-01,5.268544211045684822e-01
6.416550265445890031e-09,4.710977227671537260e-01,7.109772276715353723e-02,0.000000000000000000e+00,4.289022772328464073e-01,5.289022772328464406e-01
6.478036558682480861e-09,4.700608480306765480e-01,7.006084803067637312e-02,0.000000000000000000e+00,4.299391519693235852e-01,5.299391519693235075e-01
6.657982018645883521e-09,4.671246165575456688e-01,6.712461655754545231e-02,0.000000000000000000e+00,4.328753834424544644e-01,5.328753834424544422e-01
6.721396755599135284e-09,4.661235659105473217e-01,6.612356591054713295e-02,0.000000000000000000e+00,4.338764340894528115e-01,5.338764340894527338e-01
6.837927478609285354e-09,4.643281643899054290e-01,6.432816438990522634e-02,0.000000000000000000e+00,4.356718356100947043e-01,5.356718356100946821e-01
7.017872938572687186e-09,4.616637243996515316e-01,6.166372439965134289e-02,0.000000000000000000e+00,4.383362756003486016e-01,5.383362756003485794e-01
7.040726321348188686e-09,4.613343893636259185e-01,6.133438936362572980e-02,0.000000000000000000e+00,4.386656106363742147e-01,5.386656106363741925e-01
7.197818398536089846e-09,4.591237990375487965e-01,5.912379903754860777e-02,0.000000000000000000e+00,4.408762009624513367e-01,5.408762009624512590e-01
7.375227045008212607e-09,4.567344310421747045e-01,5.673443104217454347e-02,0.000000000000000000e+00,4.432655689578254288e-01,5.432655689578252955e-01
7.377763858499492506e-09,4.567010619603738553e-01,5.670106196037367347e-02,0.000000000000000000e+00,4.432989380396262780e-01,5.432989380396262558e-01
7.557709318462895165e-09,4.543894113939276891e-01,5.438941139392750035e-02,0.000000000000000000e+00,4.456105886060724441e-01,5.456105886060723664e-01
7.725619699276278539e-09,4.523273418006051871e-01,5.232734180060501228e-02,0.000000000000000000e+00,4.476726581993949461e-01,5.476726581993948129e-01
7.737654778426296171e-09,4.521829312125070222e-01,5.218293121250685423e-02,0.000000000000000000e+00,4.478170687874931111e-01,5.478170687874930334e-01
7.917600238389698830e-09,4.500758724457321058e-01,5.007587244573193791e-02,0.000000000000000000e+00,4.499241275542680274e-01,5.499241275542678942e-01
8.092659300331984632e-09,4.481162127309452070e-01,4.811621273094501133e-02,0.000000000000000000e+00,4.518837872690549262e-01,5.518837872690548485e-01
8.097545698353101490e-09,4.480627454733328019e-01,4.806274547333263397e-02,0.000000000000000000e+00,4.519372545266673313e-01,5.519372545266671981e-01
8.277491158316502496e-09,4.461388508786838791e-01,4.613885087868368345e-02,0.000000000000000000e+00,4.538611491213162541e-01,5.538611491213161209e-01
8.457436618279905155e-09,4.442996948796890666e-01,4.429969487968887787e-02,0.000000000000000000e+00,4.557003051203110666e-01,5.557003051203109889e-01
8.477136734724965325e-09,4.441033017056001397e-01,4.410330170559995794e-02,0.000000000000000000e+00,4.558966982943999935e-01,5.558966982943999158e-01
8.637382078243307815e-09,4.425408842763326467e-01,4.254088427633252734e-02,0.000000000000000000e+00,4.574591157236674865e-01,5.574591157236672423e-01
8.817327538206710475e-09,4.408581930381144098e-01,4.085819303811427661e-02,0.000000000000000000e+00,4.591418069618857234e-01,5.591418069618855347e-01
8.879880463554848107e-09,4.402904002408939976e-01,4.029040024089383665e-02,0.000000000000000000e+00,4.597095997591061356e-01,5.597095997591059469e-01
8.997272998170113135e-09,4.392479510683643951e-01,3.924795106836427572e-02,0.000000000000000000e+00,4.607520489316357382e-01,5.607520489316355494e-01
9.177218458133514140e-09,4.377066811494723098e-01,3.770668114947217653e-02,0.000000000000000000e+00,4.622933188505278235e-01,5.622933188505275792e-01
9.301758307615804149e-09,4.366785466310509900e-01,3.667854663105080820e-02,0.000000000000000000e+00,4.633214533689491432e-01,5.633214533689490100e-01
9.357163918096916800e-09,4.362309676842361927e-01,3.623096768423602482e-02,0.000000000000000000e+00,4.637690323157639405e-01,5.637690323157638073e-01
9.537109378060319459e-09,4.348175134537131670e-01,3.481751345371301293e-02,0.000000000000000000e+00,4.651824865462869663e-01,5.651824865462867775e-01
9.717054838023720465e-09,4.334634097601255953e-01,3.346340976012546209e-02,0.000000000000000000e+00,4.665365902398745379e-01,5.665365902398743492e-01
9.743679317352243945e-09,4.332679328492901605e-01,3.326793284928997868e-02,0.000000000000000000e+00,4.667320671507099727e-01,5.667320671507097840e-01
9.897000297987123125e-09,4.321659270457886559e-01,3.216592704578848105e-02,0.000000000000000000e+00,4.678340729542114773e-01,5.678340729542112886e-01
1.007694575795052578e-08,4.309223729928586821e-01,3.092237299285855237e-02,0.000000000000000000e+00,4.690776270071414511e-01,5.690776270071412624e-01
1.020659573165499949e-08,4.300583509800433579e-01,3.005835098004322817e-02,0.000000000000000000e+00,4.699416490199567753e-01,5.699416490199565866e-01
1.025689121791392844e-08,4.297301441675906997e-01,2.973014416759056991e-02,0.000000000000000000e+00,4.702698558324094336e-01,5.702698558324091893e-01
1.043683667787733110e-08,4.285869051012380360e-01,2.858690510123792355e-02,0.000000000000000000e+00,4.714130948987620973e-01,5.714130948987617975e-01
1.061678213784073211e-08,4.274904863642267627e-01,2.749048636422663644e-02,0.000000000000000000e+00,4.725095136357733705e-01,5.725095136357731818e-01
1.069150502971874827e-08,4.270484398494990841e-01,2.704843984949894739e-02,0.000000000000000000e+00,4.729515601505010491e-01,5.729515601505008604e-01
1.079672759780413477e-08,4.264387570250200987e-01,2.643875702501996550e-02,0.000000000000000000e+00,4.735612429749800345e-01,5.735612429749797903e-01
1.097667305776753743e-08,4.254296248805583547e-01,2.542962488055822839e-02,0.000000000000000000e+00,4.745703751194417785e-01,5.745703751194415343e-01
1.115661851773093843e-08,4.244611397777882655e-01,2.446113977778815313e-02,0.000000000000000000e+00,4.755388602222118677e-01,5.755388602222116790e-01
1.119945208038196760e-08,4.242364083360479210e-01,2.423640833604776348e-02,0.000000000000000000e+00,4.757635916639522122e-01,5.757635916639520790e-01
1.133656397769434109e-08,4.235316090431024971e-01,2.353160904310238472e-02,0.000000000000000000e+00,4.764683909568976361e-01,5.764683909568973919e-01
