# t,R1(MeOH),R2(MeOH),P1(MeOH),P2(MeOH),MeO-(MeOH),TS1#(MeOH),Br-(MeOH),TS2#(MeOH)
8.068076496026188637e-04,3.330714401238556999e-01,6.537202848525631993e-02,1.311902903764371653e-04,1.425341100511488563e-03,5.984434686091121280e-01,0.000000000000000000e+00,1.556531390887925647e-03,0.000000000000000000e+00
8.404195539682799039e-04,3.318435922232066404e-01,6.649519247190711912e-02,1.435964221751672874e-04,1.517618882711035868e-03,5.983387846951138123e-01,0.000000000000000000e+00,1.661215304886202830e-03,0.000000000000000000e+00
8.824405316666939208e-04,3.304034431613089295e-01,6.780209577722870473e-02,1.598467665121322502e-04,1.634614294950224563e-03,5.982055389385376731e-01,0.000000000000000000e+00,1.794461061462356705e-03,0.000000000000000000e+00
8.933504577894802639e-04,3.300459013653970763e-01,6.812463485086793502e-02,1.641973392556941077e-04,1.665266444479290278e-03,5.981705362162650363e-01,0.000000000000000000e+00,1.829463783734984169e-03,0.000000000000000000e+00
9.244615093651079377e-04,3.290615378382315548e-01,6.900830783098124699e-02,1.768943963106995394e-04,1.753259934476501455e-03,5.980698456692128406e-01,0.000000000000000000e+00,1.930154330787200914e-03,0.000000000000000000e+00
9.664824870635219545e-04,3.278105827761028102e-01,7.012131289238882070e-02,1.947115955832788754e-04,1.873392735925059590e-03,5.979318956684916975e-01,0.000000000000000000e+00,2.068104331508338004e-03,0.000000000000000000e+00
9.891763431169188058e-04,3.271702488881514381e-01,7.068627410575153980e-02,2.046440108640614148e-04,1.938832995232919656e-03,5.978565229939031278e-01,0.000000000000000000e+00,2.143477006096980528e-03,0.000000000000000000e+00
1.008503464761935971e-03,3.266434272389207027e-01,7.114844874516949857e-02,2.132699262673659027e-04,1.994854089642417085e-03,5.977918759840903373e-01,0.000000000000000000e+00,2.208124015909782717e-03,0.000000000000000000e+00
1.050524442460349988e-03,3.255540158127699368e-01,7.209592914672870168e-02,2.325404149267738677e-04,2.117514625574566569e-03,5.976499449594987468e-01,0.000000000000000000e+00,2.350055040501340328e-03,0.000000000000000000e+00
1.092545420158764005e-03,3.245366561524217763e-01,7.296959526847501820e-02,2.524940825237061018e-04,2.241254496579491318e-03,5.975062514208968611e-01,0.000000000000000000e+00,2.493748579103197312e-03,0.000000000000000000e+00
1.095281061592894446e-03,3.244727863883003494e-01,7.302405276951733082e-02,2.538160964962154478e-04,2.249344745686050143e-03,5.974968391578178162e-01,0.000000000000000000e+00,2.503160842182264832e-03,0.000000000000000000e+00
1.134566397857177805e-03,3.235858344113990981e-01,7.377510510431560531e-02,2.731020995650905491e-04,2.365958384720160280e-03,5.973609395157148949e-01,0.000000000000000000e+00,2.639060484285250287e-03,0.000000000000000000e+00
1.176587375555591822e-03,3.226963578664018839e-01,7.451778711453059534e-02,2.943352449740001850e-04,2.491519774093513013e-03,5.972141449809326152e-01,0.000000000000000000e+00,2.785855019067512602e-03,0.000000000000000000e+00
1.212767179716369836e-03,3.219763290906337838e-01,7.511032619249999320e-02,3.130962174195265138e-04,2.600248499446642780e-03,5.970866552831339824e-01,0.000000000000000000e+00,2.913344716866168860e-03,0.000000000000000000e+00
1.218608353254005839e-03,3.218638595877322817e-01,7.520212232082715276e-02,3.161654449550556898e-04,2.617852646485440207e-03,5.970659819085596398e-01,0.000000000000000000e+00,2.934018091440494976e-03,0.000000000000000000e+00
1.260629330952419856e-03,3.210841152237113305e-01,7.583244542902749241e-02,3.385648754779452046e-04,2.744874471783193253e-03,5.969165606527390144e-01,0.000000000000000000e+00,3.083439347261137699e-03,0.000000000000000000e+00
