# t,He(g),He(aq),Ne(g),Ne(aq),Ar(g),Ar(aq)
7.582630976432728557e-06,9.999924177510115531e-01,7.582248988440247332e-06,9.999924177726785546e-01,7.582227321526948001e-06,9.999924178278140063e-01,7.582172186041508552e-06
8.734346871734682333e-06,9.999912661599654751e-01,8.733840034485501800e-06,9.999912661887139231e-01,8.733811286096143103e-06,9.999912662618695158e-01,8.733738130554549882e-06
1.006099538707496686e-05,9.999899396771047000e-01,1.006032289526061234e-05,9.999899397152490765e-01,1.006028475099141395e-05,9.999899398123139882e-01,1.006018768602751021e-05
1.158914680916954254e-05,9.999884117454789223e-01,1.158825452106555459e-05,9.999884117960898822e-01,1.158820391013567886e-05,9.999884119248783065e-01,1.158807512168121261e-05
1.334940715080995952e-05,9.999866517767702634e-01,1.334822322969680216e-05,9.999866518439222141e-01,1.334815607777547832e-05,9.999866520148018578e-01,1.334798519810823877e-05
1.537703113201529251e-05,9.999846245397366884e-01,1.537546026325608089e-05,9.999846246288355278e-01,1.537537116453368603e-05,9.999846248555621653e-01,1.537514443784543345e-05
1.771262826608902769e-05,9.999822894560157494e-01,1.771054398426951358e-05,9.999822895742336293e-01,1.771042576636172665e-05,9.999822898750584388e-01,1.771012494163271139e-05
2.040297619216295831e-05,9.999795997892990673e-01,2.040021070089714363e-05,9.999795999461523754e-01,2.040005384760305412e-05,9.999796003452902093e-01,2.039965470979655872e-05
2.350195754375661078e-05,9.999765017117910881e-01,2.349828820883962435e-05,9.999765019199057248e-01,2.349808009431359146e-05,9.999765024494843280e-01,2.349755051572914236e-05
2.707163911707645366e-05,9.999729332294539086e-01,2.706677054605622295e-05,9.999729335055812518e-01,2.706649441879883830e-05,9.999729342082261940e-01,2.706579177387286134e-05
3.118351495277534317e-05,9.999688229447810661e-01,3.117705521895537441e-05,9.999688233111461155e-01,3.117668885392011423e-05,9.999688242434103813e-01,3.117575658960747140e-05
3.591993822777343981e-05,9.999640886326742750e-01,3.591136732565557187e-05,9.999640891187638880e-01,3.591088123609912112e-05,9.999640903556779037e-01,3.590964432212813374e-05
4.137577063525443833e-05,9.999586356013703270e-01,4.136439862964274205e-05,9.999586362463049882e-01,4.136375369498039936e-05,9.999586378874116832e-01,4.136211258831248090e-05
4.766028228683023751e-05,9.999523548062109191e-01,4.764519378906710470e-05,9.999523556618918896e-01,4.764433810809755646e-05,9.999523578392534029e-01,4.764216074663777756e-05
5.489934018835891178e-05,9.999451206793060765e-01,5.487932069391745387e-05,9.999451218145893883e-01,5.487818541060025606e-05,9.999451247034069068e-01,5.487529659305608314e-05
6.323792912049079498e-05,9.999367886327157340e-01,6.321136728419371519e-05,9.999367901389493163e-01,6.320986105072533311e-05,9.999367939716501397e-01,6.320602834985927549e-05
7.284305541246176275e-05,9.999271921865959811e-01,7.280781340399824597e-05,9.999271941849633416e-01,7.280581503665381374e-05,9.999271992698847145e-01,7.280073011528811404e-05
8.390709176628720432e-05,9.999161396667155532e-01,8.386033328446061729e-05,9.999161423179772079e-01,8.385768202283007823e-05,9.999161490641462757e-01,8.385093585368749171e-05
9.665163012192479230e-05,9.999034104077542118e-01,9.658959224577555339e-05,9.999034139251659070e-01,9.658607483408509554e-05,9.999034228751634279e-01,9.657712483657904246e-05
1.113319197290863697e-04,9.998887503897373463e-01,1.112496102626860930e-04,9.998887550561846860e-01,1.112449438152877858e-04,9.998887669297310543e-01,1.112330702688777768e-04
1.282419793119666379e-04,9.998718672252251416e-01,1.281327747748637984e-04,9.998718734160435551e-01,1.281265839564951379e-04,9.998718891680959953e-01,1.281108319039694497e-04
1.477204857139836566e-04,9.998524243999420413e-01,1.475756000579663376e-04,9.998524326128250816e-01,1.475673871748828443e-04,9.998524535095361099e-01,1.475464904639148700e-04
1.701575569610614357e-04,9.998300346652582160e-01,1.699653347418326717e-04,9.998300455602999737e-01,1.699544396999946958e-04,9.998300732809063396e-01,1.699267190936831577e-04
1.960025655955182538e-04,9.998042524546806309e-01,1.957475453194323185e-04,9.998042669073157196e-01,1.957330926842338410e-04,9.998043036787641613e-01,1.956963212358679618e-04
2.257731387670117921e-04,9.997745651892722130e-01,2.254348107277805602e-04,9.997745843604460836e-01,2.254156395538833727e-04,9.997746331358151606e-01,2.253668641848600757e-04
2.600655253355209861e-04,9.997403833155803499e-01,2.596166844197047782e-04,9.997404087447417931e-01,2.595912552582075174e-04,9.997404734396676540e-01,2.595265603323815089e-04
2.995665376200309297e-04,9.997010289007917105e-01,2.989710992083116311e-04,9.997010626291090718e-01,2.989373708909779650e-04,9.997011484350075694e-01,2.988515649924257714e-04
3.450673069637972168e-04,9.996557225887776621e-01,3.442774112223208273e-04,9.996557673223648299e-01,3.442326776351309304e-04,9.996558811212987727e-01,3.441188787011652435e-04
3.974791286144152406e-04,9.996035686982195356e-01,3.964313017804877381e-04,9.996036280243124628e-01,3.963719756875143602e-04,9.996037789383392935e-01,3.962210616606652754e-04
4.578517132619884305e-04,9.995435382204728159e-01,4.564617795271684207e-04,9.995436168936502330e-01,4.563831063498107778e-04,9.995438170120160004e-01,4.561829879839707485e-04
5.273942107795380691e-04,9.994744494508092103e-01,5.255505491907634576e-04,9.994745537718283668e-01,5.254462281716621710e-04,9.994748191132344362e-01,5.251808867656017950e-04
6.074994272318340631e-04,9.993949459630601106e-01,6.050540369399393320e-04,9.993950842800854995e-01,6.049157199145028261e-04,9.993954360654820901e-01,6.045639345179049193e-04
6.997717201739998274e-04,9.993034716158017972e-01,6.965283841982519578e-04,9.993036549872748031e-01,6.963450127251698913e-04,9.993041213225718478e-01,6.958786774281696926e-04
8.060591309305156988e-04,9.991982422599618996e-01,8.017577400380837115e-04,9.991984853307892545e-01,8.015146692108090793e-04,9.991991034302442065e-01,8.008965697557355896e-04
9.284903974040302791e-04,9.990772138057578688e-01,9.227861942421367904e-04,9.990775359647778853e-01,9.224640352221715432e-04,9.990783550868620466e-01,9.216449131378946173e-04
1.069517588711253872e-03,9.989380463048878056e-01,1.061953695112262267e-03,9.989384732128553379e-01,1.061526787144647776e-03,9.989395585339490014e-01,1.060441466050982603e-03
1.231965215537908932e-03,9.987780641624947053e-01,1.221935837505409373e-03,9.987786298461825973e-01,1.221370153817406563e-03,9.987800678067082494e-01,1.219932193291690991e-03
1.419086799801215883e-03,9.985942100080135164e-01,1.405789991986548630e-03,9.985949593683883796e-01,1.405040631611624308e-03,9.985968639469986474e-01,1.403136053001325257e-03
1.523774659598803186e-03,9.984915493124172370e-01,1.508450687582784050e-03,9.984924124982358373e-01,1.507587501764162674e-03,9.984946061759510938e-01,1.505393824048909673e-03
1.634630036604379230e-03,9.983829960281973559e-01,1.617003971802741030e-03,9.983839883693792494e-01,1.616011630620661256e-03,9.983865100277329319e-01,1.613489972267015881e-03
1.882911853555069856e-03,9.981404493287432400e-01,1.859550671256859303e-03,9.981417629902756827e-01,1.858237009724223593e-03,9.981451003995674975e-01,1.854899600432435239e-03
2.168904870745529644e-03,9.978620522048160524e-01,2.137947795184024814e-03,9.978637906052233442e-01,2.136209394776612033e-03,9.978682059091483758e-01,2.131794090851599037e-03
2.498336993025945633e-03,9.975426779685503398e-01,2.457322031449672359e-03,9.975449775309724876e-01,2.455022469027523697e-03,9.975508163388866478e-01,2.449183661113320514e-03
2.877806129217851377e-03,9.971765227930470266e-01,2.823477206953051936e-03,9.971795633189677321e-01,2.820436681032177650e-03,9.971872808391338827e-01,2.812719160866101239e-03
3.047549319197606372e-03,9.970133318664919919e-01,2.986668133508112166e-03,9.970167363519490955e-01,2.983263648050852885e-03,9.970253763594624230e-01,2.974623640537540567e-03
3.084674525157393623e-03,9.969776887631240925e-01,3.022311236875954363e-03,9.969811755158948241e-01,3.018824484105119086e-03,9.969900240088747090e-01,3.009975991125276706e-03
3.314912335878703910e-03,9.967570346885534782e-01,3.242965311446615023e-03,9.967610529046971868e-01,3.238947095302718675e-03,9.967712480164381272e-01,3.228751983561817685e-03
3.818410032209985060e-03,9.962768413722351557e-01,3.723158627764901543e-03,9.962821485730473103e-01,3.717851426952653235e-03,9.962956081147122944e-01,3.704391885287733333e-03
4.398383334688382544e-03,9.957276796468739199e-01,4.272320353126151174e-03,9.957346845958998660e-01,4.265315404100098427e-03,9.957524407218532048e-01,4.247559278146810849e-03
4.571323978796409775e-03,9.955647441794718278e-01,4.435255820528200867e-03,9.955722989904852716e-01,4.427701009514692886e-03,9.955914460028650881e-01,4.408553997134873753e-03
5.066448023044744370e-03,9.951003300095409010e-01,4.899669990459213503e-03,9.951095685506400335e-01,4.890431449359952665e-03,9.951329726864535097e-01,4.867027313546483380e-03
5.835984182591179813e-03,9.943845616101615326e-01,5.615438389838537693e-03,9.943967347721980321e-01,5.603265227801935804e-03,9.944275524585706183e-01,5.572447541429369558e-03
6.095098638395212744e-03,9.941451959506677483e-01,5.854804049332297707e-03,9.941584433438037660e-01,5.841556656196164599e-03,9.941919731170926200e-01,5.808026882907275923e-03
6.163195707972479037e-03,9.940824257851468282e-01,5.917574214853192627e-03,9.940959626139899141e-01,5.904037386010008680e-03,9.941302229711085348e-01,5.869777028891448763e-03
6.722404182286739922e-03,9.935691018828888277e-01,6.430898117111180992e-03,9.935851259106126543e-01,6.414874089387280660e-03,9.936256614968146383e-01,6.374338503185313087e-03
7.618873297994015713e-03,9.927541018460296351e-01,7.245898153970438578e-03,9.927745181900844429e-01,7.225481809915512872e-03,9.928261242537821385e-01,7.173875746217834616e-03
7.743461355640899636e-03,9.926416021279182988e-01,7.358397872081788756e-03,9.926626678311213370e-01,7.337332168878562405e-03,9.927159094254008886e-01,7.284090574599069723e-03
8.919605566755294326e-03,9.915887014426256751e-01,8.411298557374337001e-03,9.916163561331049481e-01,8.383643866895031105e-03,9.916861785595030288e-01,8.313821440496903595e-03
9.142647957592819549e-03,9.913908803048760987e-01,8.609119695123949867e-03,9.914198768089391711e-01,8.580123191060821941e-03,9.914930727512557551e-01,8.506927248744224068e-03
9.241716890787564018e-03,9.913032018116125776e-01,8.696798188387422357e-03,9.913328036143722599e-01,8.667196385627691513e-03,9.914075210432617968e-01,8.592478956738156329e-03
1.027439278282640464e-02,9.903960985737348954e-01,9.603901426265083752e-03,9.904323462662031341e-01,9.567653733796848553e-03,9.905237562710897947e-01,9.476243728910109868e-03
1.066642261719162252e-02,9.900549866563794765e-01,9.945013343620610208e-03,9.900939156865653512e-01,9.906084313434586341e-03,9.901920541955993027e-01,9.807945804400648726e-03
1.183495685607951001e-02,9.890487060830074340e-01,1.095129391699258339e-02,9.890961314816915095e-01,1.090386851830841067e-02,9.892155684857689701e-01,1.078443151423100904e-02
1.219019727679042549e-02,9.887458762297118842e-01,1.125412377028820257e-02,9.887960313091606057e-01,1.120396869083930928e-02,9.889223041728986141e-01,1.107769582710130957e-02
1.232023807360265073e-02,9.886353779966972066e-01,1.136462200330283501e-02,9.886865491325310673e-01,1.131345086746884943e-02,9.888153656554886650e-01,1.118463434451128294e-02
1.363255296404309799e-02,9.875309038398440986e-01,1.246909616015600200e-02,9.875928247519968339e-01,1.240717524800311403e-02,9.877485270821239061e-01,1.225147291787597251e-02
1.371397193638922846e-02,9.874630129159784886e-01,1.253698708402154784e-02,9.875256301274413229e-01,1.247436987255863203e-02,9.876830723952199076e-01,1.231692760478004210e-02
1.523774659598803143e-02,9.862058582423010034e-01,1.379414175769910766e-02,9.862821159444201680e-01,1.371788405557982163e-02,9.864736051986960907e-01,1.352639480130383119e-02
