# t,AcOH(aq),AcO-(aq),H+(aq),AcOH(g),AcO-(g)
4.563731263412769477e-04,9.995438485370018722e-02,4.560894380869217094e-05,4.560894380869217094e-05,6.202491127171749979e-09,2.929375450753737097e-61
4.704860468647743712e-04,9.995297594527867424e-02,4.701785231764223202e-05,4.701785231764223202e-05,6.202403699842972526e-09,3.019866956450253723e-61
4.867980014306953892e-04,9.995134766618479771e-02,4.864613151255248397e-05,4.864613151255248397e-05,6.202302659852682685e-09,3.124448222803413755e-61
4.928385593706255570e-04,9.995074473516038505e-02,4.924906257438315700e-05,4.924906257438315700e-05,6.202265246029973184e-09,3.163173334668141437e-61
5.162530264629170817e-04,9.994840788293256340e-02,5.158591494720764621e-05,5.158591494720764621e-05,6.202120236779614149e-09,3.313264904464217918e-61
5.172228765201138849e-04,9.994831109641326428e-02,5.168270147251851048e-05,5.168270147251851048e-05,6.202114230862524617e-09,3.319481318341255962e-61
5.407799009729969677e-04,9.994596041999276315e-02,5.403337803888664213e-05,5.403337803888664213e-05,6.201968363773681885e-09,3.470460789715652587e-61
5.476477516095322722e-04,9.994527517554240015e-02,5.471862253177386579e-05,5.471862253177386579e-05,6.201925842134661563e-09,3.514472736224386290e-61
5.664720327162494620e-04,9.994339714886198156e-02,5.659664932872392575e-05,5.659664932872392575e-05,6.201809304491395816e-09,3.635094814602678501e-61
5.780726266989507679e-04,9.994223993472901857e-02,5.775386353350217197e-05,5.775386353350217197e-05,6.201737495602480967e-09,3.709420475309928691e-61
5.933847823713826004e-04,9.994071263334947108e-02,5.928116500782262214e-05,5.928116500782262214e-05,6.201642721599095446e-09,3.807516135309002299e-61
6.084975017883692636e-04,9.993920540512993278e-02,6.078839332088703756e-05,6.078839332088703756e-05,6.201549193199368619e-09,3.904322534455005734e-61
6.215761407700521766e-04,9.993790118840198411e-02,6.209261012976890657e-05,6.209261012976890657e-05,6.201468262320351419e-09,3.988089891980851298e-61
6.389223768777876509e-04,9.993617161790196990e-02,6.382218073711207109e-05,6.382218073711207109e-05,6.201360936858711961e-09,4.099176912516737225e-61
6.511068538538657960e-04,9.993495686964509739e-02,6.503692906935284188e-05,6.503692906935284188e-05,6.201285557786964574e-09,4.177197880470659887e-61
6.693472519672061466e-04,9.993313860420192929e-02,6.685519462536088108e-05,6.685519462536088108e-05,6.201172728513897612e-09,4.293981608352249189e-61
6.820405535680189747e-04,9.993187346262751014e-02,6.812033627828550974e-05,6.812033627828550974e-05,6.201094222371532935e-09,4.375239243156261467e-61
6.997721270566246423e-04,9.993010639518662419e-02,6.988740382881709640e-05,6.988740382881709640e-05,6.200984570098311360e-09,4.488734620818662815e-61
7.144438949736113239e-04,9.992864447178360920e-02,7.134932732254521855e-05,7.134932732254521855e-05,6.200893853002544508e-09,4.582631177848583109e-61
7.301970021460430296e-04,9.992707502201288172e-02,7.291877719066431880e-05,7.291877719066431880e-05,6.200796463545340648e-09,4.683433948773100671e-61
7.483866998740860673e-04,9.992526310913509013e-02,7.473069018088909538e-05,7.473069018088909538e-05,6.200684028463259823e-09,4.799809663473485757e-61
7.606218772354615253e-04,9.992404451583751512e-02,7.594928355408616359e-05,7.594928355408616359e-05,6.200608410788372094e-09,4.878077591072685329e-61
7.839421072652766678e-04,9.992172228275762735e-02,7.827151677807948622e-05,7.827151677807948622e-05,6.200464308676032784e-09,5.027230200828895446e-61
7.910467523248800210e-04,9.992101490781733764e-02,7.897889176226627317e-05,7.897889176226627317e-05,6.200420413760791487e-09,5.072663546574540740e-61
8.211867309332488308e-04,9.991801458504642741e-02,8.197921471935721237e-05,8.197921471935721237e-05,6.200234233974141924e-09,5.265368566267631326e-61
8.214716274142985167e-04,9.991798622910914862e-02,8.200757065838820865e-05,8.200757065838820865e-05,6.200232474395986270e-09,5.267189814135787400e-61
8.518965025037169040e-04,9.991495851086978908e-02,8.503528908563559889e-05,8.503528908563559889e-05,6.200044594627342232e-09,5.461654392613549954e-61
8.602008245395150994e-04,9.991413228082220155e-02,8.586151918448638794e-05,8.586151918448638794e-05,6.199993324363716993e-09,5.514721575629221240e-61
8.823213775931353997e-04,9.991193178425604449e-02,8.806201588719208629e-05,8.806201588719208629e-05,6.199856776388246818e-09,5.656055280864950279e-61
9.010684545493575582e-04,9.991006729532882213e-02,8.992650493011767514e-05,8.992650493011767514e-05,6.199741078778943886e-09,5.775807855128786685e-61
9.127462526825538955e-04,9.990890608042475585e-02,9.108771990624125905e-05,9.108771990624125905e-05,6.199669021612086644e-09,5.850390477747110254e-61
9.431711277719722827e-04,9.990588143053270864e-02,9.411236998596670539e-05,9.411236998596670539e-05,6.199481332232247498e-09,6.044657982117151760e-61
9.438776813758683552e-04,9.990581120218498812e-02,9.418259833804862292e-05,9.418259833804862292e-05,6.199476974334425712e-09,6.049168615193825191e-61
9.735960028613907784e-04,9.990285786573675775e-02,9.713593496955212191e-05,9.713593496955212191e-05,6.199293710182115999e-09,6.238855792832200820e-61
9.887207491300366562e-04,9.990135521136557506e-02,9.863858943396668273e-05,9.863858943396668273e-05,6.199200465579363670e-09,6.335368422405143666e-61
1.004020877950809274e-03,9.989983541719367477e-02,1.001583837001810426e-04,1.001583837001810426e-04,6.199106157395080416e-09,6.432981908749377932e-61
1.034445753040227770e-03,9.989681411606030070e-02,1.031796850210371370e-04,1.031796850210371370e-04,6.198918675804525712e-09,6.627034328725805665e-61
1.035694284385749956e-03,9.989669015730287538e-02,1.033036437861562309e-04,1.033036437861562309e-04,6.198910983759198262e-09,6.634995963728115495e-61
1.064870628129646266e-03,9.989379399349344879e-02,1.061998077753039662e-04,1.061998077753039662e-04,6.198731267343839330e-09,6.821011051618605899e-61
1.084899504388002131e-03,9.989180648721596167e-02,1.081873141761155292e-04,1.081873141761155292e-04,6.198607936091395298e-09,6.948664796094130639e-61
1.095295503219064544e-03,9.989077508064991839e-02,1.092187208061651455e-04,1.092187208061651455e-04,6.198543933946407060e-09,7.014910076284901894e-61
1.125720378308483040e-03,9.988775740868653663e-02,1.122363929568043173e-04,1.122363929568043173e-04,6.198356677545616346e-09,7.208729401581818293e-61
1.136442435152948708e-03,9.988669424979661204e-02,1.132995519126895961e-04,1.132995519126895961e-04,6.198290705063351533e-09,7.277014073085781069e-61
1.156145253397901536e-03,9.988474100876010286e-02,1.152527930704050970e-04,1.152527930704050970e-04,6.198169500074852976e-09,7.402467026366474212e-61
1.186570128487320032e-03,9.988172591202745809e-02,1.182678899901510997e-04,1.182678899901510997e-04,6.197982403467504395e-09,7.596120949495998438e-61
1.190434139929769358e-03,9.988134308440360654e-02,1.186507176377592330e-04,1.186507176377592330e-04,6.197958647761853940e-09,7.620709238965644682e-61
1.216995003576738527e-03,9.987871214964540167e-02,1.212816525592259409e-04,1.212816525592259409e-04,6.197795389656957219e-09,7.789689169827505942e-61
1.246990958516613207e-03,9.987574221094468185e-02,1.242515914442347065e-04,1.242515914442347065e-04,6.197611095245209919e-09,7.980442678535714005e-61
1.247419878666157023e-03,9.987569975277073298e-02,1.242940496208131817e-04,1.242940496208131817e-04,6.197608460576597237e-09,7.983169686218122748e-61
1.277844753755575302e-03,9.987268875256029299e-02,1.273050500180964914e-04,1.273050500180964914e-04,6.197421618159811893e-09,8.176560497524970735e-61
1.306234757946306497e-03,9.986988042065712834e-02,1.301133820955326830e-04,1.301133820955326830e-04,6.197247351971126174e-09,8.356934309286819623e-61
1.308269628844993798e-03,9.986967918017089496e-02,1.303146225942594584e-04,1.303146225942594584e-04,6.197234864339987804e-09,8.369859602605174546e-61
1.338694503934412293e-03,9.986667106675932437e-02,1.333227361924857251e-04,1.333227361924857251e-04,6.197048201050510758e-09,8.563065000315856060e-61
1.368293195081986616e-03,9.986374606803410936e-02,1.362477350992058022e-04,1.362477350992058022e-04,6.196866695295701958e-09,8.750932099952447767e-61
1.369119379023830789e-03,9.986366444348242222e-02,1.363293596559588797e-04,1.363293596559588797e-04,6.196861630224768200e-09,8.756174689514137155e-61
1.399544254113249285e-03,9.986065934149700174e-02,1.393344618278625103e-04,1.393344618278625103e-04,6.196675153796145919e-09,8.949186669057139712e-61
1.429969129202667780e-03,9.985765579195986230e-02,1.423380115513803135e-04,1.423380115513803135e-04,6.196488773698032186e-09,9.142098937801989753e-61
1.433299991688500707e-03,9.985732706418642968e-02,1.426667393452080818e-04,1.426667393452080818e-04,6.196468375061473277e-09,9.163212496871867580e-61
1.460394004292086059e-03,9.985465382602783102e-02,1.453399776696957964e-04,1.453399776696957964e-04,6.196302491863811135e-09,9.334909494605805014e-61
1.490818879381504555e-03,9.985165347485770726e-02,1.483403290259926283e-04,1.483403290259926283e-04,6.196116310226871866e-09,9.527616338325711518e-61
1.501395222572280254e-03,9.985061087197784346e-02,1.493829319705542650e-04,1.493829319705542650e-04,6.196051613295528359e-09,9.594580736437915745e-61
1.521243754470923051e-03,9.984865476960633202e-02,1.513390344634544518e-04,1.513390344634544518e-04,6.195930230720599339e-09,9.720217467818831145e-61
1.551668629560341546e-03,9.984565774143049077e-02,1.543360628252648007e-04,1.543360628252648007e-04,6.195744255278380171e-09,9.912710881942285774e-61
1.572725617410573483e-03,9.984358450332853074e-02,1.564093010558809213e-04,1.564093010558809213e-04,6.195615604042150823e-09,1.004587101829198116e-60
1.582093504649760042e-03,9.984266242148702453e-02,1.573313829546073989e-04,1.573313829546073989e-04,6.195558385833602634e-09,1.010509457955320143e-60
1.612518379739178538e-03,9.983966884093271876e-02,1.603249636946657260e-04,1.603249636946657260e-04,6.195372624319651690e-09,1.029736655950869722e-60
1.642943254828597033e-03,9.983667703092441448e-02,1.633167738886235059e-04,1.633167738886235059e-04,6.195186972669913954e-09,1.048952482066589504e-60
1.647444876920402040e-03,9.983623451914598601e-02,1.637592856945071433e-04,1.637592856945071433e-04,6.195159513358501793e-09,1.051794650975962814e-60
1.673368129918015312e-03,9.983368702261891103e-02,1.663067823796642996e-04,1.663067823796642996e-04,6.195001432817776871e-09,1.068156736188191814e-60
1.703793005007433808e-03,9.983069884717303555e-02,1.692949580109717224e-04,1.692949580109717224e-04,6.194816006696627058e-09,1.087349218201389254e-60
1.725714004048517968e-03,9.982854703241780814e-02,1.714467728997195247e-04,1.714467728997195247e-04,6.194682479506509258e-09,1.101169914721142662e-60
1.734217880096852304e-03,9.982771253574358739e-02,1.722812696257294167e-04,1.722812696257294167e-04,6.194630696239851130e-09,1.106529727991893875e-60
1.764642755186270799e-03,9.982472800903914589e-02,1.752657965153669789e-04,1.752657965153669789e-04,6.194445496527319247e-09,1.125698774833431613e-60
1.795067630275689295e-03,9.982174537275942394e-02,1.782484329801724591e-04,1.782484329801724591e-04,6.194260414117987196e-09,1.144855679836916715e-60
1.807701650895999958e-03,9.982050740351657014e-02,1.794864022998525249e-04,1.794864022998525249e-04,6.194183594046037203e-09,1.152806920604667073e-60
1.825492505365107791e-03,9.981876471364434233e-02,1.812290922802169786e-04,1.812290922802169786e-04,6.194075454394286963e-09,1.163999885888334285e-60
1.855917380454526070e-03,9.981578605895306822e-02,1.842077471563268864e-04,1.842077471563268864e-04,6.193890619047749133e-09,1.183131217907211957e-60
1.886342255543944565e-03,9.981280943594478261e-02,1.871843703493285586e-04,1.871843703493285586e-04,6.193705909769906774e-09,1.202249500813078193e-60
1.893584482125029375e-03,9.981210119379535506e-02,1.878926125427053022e-04,1.878926125427053022e-04,6.193661961007393838e-09,1.206798405306828809e-60
1.916767130633363061e-03,9.980983487187863878e-02,1.901589346000483714e-04,1.901589346000483714e-04,6.193521328252291299e-09,1.221354559525460903e-60
1.947192005722781557e-03,9.980686239401383164e-02,1.931314126493126739e-04,1.931314126493126739e-04,6.193336876186434949e-09,1.240446218963888273e-60
1.977616880812199836e-03,9.980389202960951445e-02,1.961017772379477879e-04,1.961017772379477879e-04,6.193152555263869136e-09,1.259524304047888074e-60
1.983547555630906737e-03,9.980331326943744918e-02,1.966805374459287923e-04,1.966805374459287923e-04,6.193116641283060255e-09,1.263241570451258554e-60
2.008041755901618548e-03,9.980092380592486823e-02,1.990700011067801710e-04,1.990700011067801710e-04,6.192968367176125273e-09,1.278588639696988769e-60
2.038466630991036827e-03,9.979795775021906012e-02,2.020360569966360908e-04,2.020360569966360908e-04,6.192784313614737256e-09,1.297639050830718128e-60
2.068891506080455540e-03,9.979499388975127117e-02,2.049999176483419778e-04,2.049999176483419778e-04,6.192600396271234843e-09,1.316675362368604477e-60
2.077784721299570474e-03,9.979412796952524811e-02,2.058658379280992024e-04,2.058658379280992024e-04,6.192546663056881206e-09,1.322237003130272785e-60
2.099316381169873819e-03,9.979203225178066849e-02,2.079615558027240996e-04,2.079615558027240996e-04,6.192416616837151102e-09,1.335697399230175586e-60
2.129741256259292531e-03,9.978907286356643314e-02,2.109209442006089680e-04,2.109209442006089680e-04,6.192232977004017445e-09,1.354704986334960057e-60
2.160166131348710810e-03,9.978611575236771836e-02,2.138780555828227964e-04,2.138780555828227964e-04,6.192049478463366113e-09,1.373697948602485107e-60
2.176499038709846234e-03,9.978452924276647040e-02,2.154645652825215119e-04,2.154645652825215119e-04,6.191951030288202694e-09,1.383887797738597815e-60
2.190591006438129089e-03,9.978316094544370518e-02,2.168328626901919881e-04,2.168328626901919881e-04,6.191866122906729346e-09,1.392676110952279338e-60
2.221015881527547801e-03,9.978020847005356075e-02,2.197853382635430006e-04,2.197853382635430006e-04,6.191682912025638557e-09,1.411639298303871074e-60
2.251440756616966080e-03,9.977725835345646610e-02,2.227354550437020745e-04,2.227354550437020745e-04,6.191499847511625987e-09,1.430587335576787809e-60
2.279903214680484118e-03,9.977450068023288599e-02,2.254931284384008967e-04,2.254931284384008967e-04,6.191328724743382899e-09,1.448299345698118266e-60
2.281865631706384793e-03,9.977431062291158836e-02,2.256831857714956672e-04,2.256831857714956672e-04,6.191316931056223049e-09,1.449520047690558144e-60
2.312290506795803072e-03,9.977136530567809469e-02,2.286285031877500194e-04,2.286285031877500194e-04,6.191134164350961982e-09,1.468437259564709575e-60
2.342715381885221351e-03,9.976842242901517999e-02,2.315713800332916156e-04,2.315713800332916156e-04,6.190951549087374201e-09,1.487338796118770701e-60
2.373140256974640063e-03,9.976548202018198364e-02,2.345117890489467778e-04,2.345117890489467778e-04,6.190769086956992773e-09,1.506224482272269295e-60
2.388220061604794976e-03,9.976402555716581966e-02,2.359682521554860000e-04,2.359682521554860000e-04,6.190678708589907496e-09,1.515579066950047805e-60
2.403565132064058342e-03,9.976254410643770054e-02,2.374497029755418280e-04,2.374497029755418280e-04,6.190586779651349110e-09,1.525094142944733680e-60
2.433990007153477055e-03,9.975960871504148397e-02,2.403850945539031964e-04,2.403850945539031964e-04,6.190404628861974625e-09,1.543947603055691628e-60
