# t,NH3(w),OH·(w),NH3·OH#(w),NH2·(w),H2O(w),NH4+(w)
3.366924130819064954e-07,1.362470743923555917e-02,1.362470744673308955e-02,0.000000000000000000e+00,8.637529255326686917e-02,8.637529255326691080e-02,7.497567728220995089e-12
3.428703203265489841e-07,1.341215009419903861e-02,1.341215010175571438e-02,0.000000000000000000e+00,8.658784989824423739e-02,8.658784989824427902e-02,7.556713612779726072e-12
3.591598854986850372e-07,1.288218689256698767e-02,1.288218690027530255e-02,0.000000000000000000e+00,8.711781309972466136e-02,8.711781309972470300e-02,7.708351800000522032e-12
3.703616543900971661e-07,1.254143910067084290e-02,1.254143910847999553e-02,0.000000000000000000e+00,8.745856089151997359e-02,8.745856089152001522e-02,7.809188076394909915e-12
3.762233582322703787e-07,1.237021290775469455e-02,1.237021291561555408e-02,0.000000000000000000e+00,8.762978708438440290e-02,8.762978708438444453e-02,7.860896425718901250e-12
3.807416301704071903e-07,1.224137851309998852e-02,1.224137852100022801e-02,0.000000000000000000e+00,8.775862147899973764e-02,8.775862147899977928e-02,7.900274969378715892e-12
3.940975064156633873e-07,1.187578165270615667e-02,1.187578166072044382e-02,0.000000000000000000e+00,8.812421833927952530e-02,8.812421833927956694e-02,8.014321945324045376e-12
4.040308956982878368e-07,1.161774512610230098e-02,1.161774513419921995e-02,0.000000000000000000e+00,8.838225486580074397e-02,8.838225486580078560e-02,8.096954817905900859e-12
4.128208447577519203e-07,1.139857196042865645e-02,1.139857196859721429e-02,0.000000000000000000e+00,8.860142803140275136e-02,8.860142803140279300e-02,8.168593181570280103e-12
4.324337177783536087e-07,1.093811910801996412e-02,1.093811911634361318e-02,0.000000000000000000e+00,8.906188088365635247e-02,8.906188088365639410e-02,8.323686107632990268e-12
4.351332916233225259e-07,1.087764340253802829e-02,1.087764341088253220e-02,0.000000000000000000e+00,8.912235658911742131e-02,8.912235658911746294e-02,8.344540996166751011e-12
4.377001370064784546e-07,1.082075861519112524e-02,1.082075862355535469e-02,0.000000000000000000e+00,8.917924137644460403e-02,8.917924137644464566e-02,8.364263810105684848e-12
4.529783867414494354e-07,1.049410700580180600e-02,1.049410701428133384e-02,0.000000000000000000e+00,8.950589298571862140e-02,8.950589298571866304e-02,8.479564688976286919e-12
4.713693783146691253e-07,1.012610858041335798e-02,1.012610858902715169e-02,0.000000000000000000e+00,8.987389141097280876e-02,8.987389141097285039e-02,8.613829322447525280e-12
4.744991207185586472e-07,1.006604215512306270e-02,1.006604216375923434e-02,0.000000000000000000e+00,8.993395783624072437e-02,8.993395783624076600e-02,8.636208103621665441e-12
4.895249530762378615e-07,9.787322836551837560e-03,9.787322845293633042e-03,0.000000000000000000e+00,9.021267715470632220e-02,9.021267715470636384e-02,8.741831308366462633e-12
4.970422919784820398e-07,9.653587245849120507e-03,9.653587254642666260e-03,0.000000000000000000e+00,9.034641274535729072e-02,9.034641274535733235e-02,8.793582093219989248e-12
5.050386196228597960e-07,9.515276586590919530e-03,9.515276595438744781e-03,0.000000000000000000e+00,9.048472340456120699e-02,9.048472340456124863e-02,8.847860608155205736e-12
5.206564759089551084e-07,9.256269845317998887e-03,9.256269854269628256e-03,0.000000000000000000e+00,9.074373014573032525e-02,9.074373014573036689e-02,8.951665214340179622e-12
5.387078609310504138e-07,8.973955651194099117e-03,8.973955660262242923e-03,0.000000000000000000e+00,9.102604433973771059e-02,9.102604433973775222e-02,9.068178616068409347e-12
5.439166145291531441e-07,8.895657565773628858e-03,8.895657574874732409e-03,0.000000000000000000e+00,9.110434242512523151e-02,9.110434242512527314e-02,9.101139554465101433e-12
5.453925556855192151e-07,8.873718389639408469e-03,8.873718398749801464e-03,0.000000000000000000e+00,9.112628160125016419e-02,9.112628160125020582e-02,9.110427079365434286e-12
5.713038319131489120e-07,8.505472747086918403e-03,8.505472756356729017e-03,0.000000000000000000e+00,9.149452724364322276e-02,9.149452724364326439e-02,9.269846623011239903e-12
5.723771022392410316e-07,8.490879036400722502e-03,8.490879045676993225e-03,0.000000000000000000e+00,9.150912095432296722e-02,9.150912095432300886e-02,9.276306260906501926e-12
5.983082759820684267e-07,8.152890543041524385e-03,8.152890552470586083e-03,0.000000000000000000e+00,9.184710944752937090e-02,9.184710944752941253e-02,9.429098251296928404e-12
5.984461374768879449e-07,8.151165365874377816e-03,8.151165375304235752e-03,0.000000000000000000e+00,9.184883462469572990e-02,9.184883462469577153e-02,9.429894219486453007e-12
6.060463435474317552e-07,8.057173880001327823e-03,8.057173889474808851e-03,0.000000000000000000e+00,9.194282611052514986e-02,9.194282611052519150e-02,9.473516818304329170e-12
6.268779578489704951e-07,7.810338609531077524e-03,7.810338619121592538e-03,0.000000000000000000e+00,9.218966138087836271e-02,9.218966138087840434e-02,9.590550707003761434e-12
6.397155848556223730e-07,7.665625535061267558e-03,7.665625544722130813e-03,0.000000000000000000e+00,9.233437445527784004e-02,9.233437445527788168e-02,9.660900118584670536e-12
6.526999374349838153e-07,7.524603899871773818e-03,7.524603909602477908e-03,0.000000000000000000e+00,9.247539609039748254e-02,9.247539609039752417e-02,9.730741108755909968e-12
6.566605571116621968e-07,7.482613028943372810e-03,7.482613038695126034e-03,0.000000000000000000e+00,9.251738696130483441e-02,9.251738696130487605e-02,9.751789400844894766e-12
6.733848261638129908e-07,7.310354873018606002e-03,7.310354882857961027e-03,0.000000000000000000e+00,9.268964511714200549e-02,9.268964511714204713e-02,9.839391686058857408e-12
6.878581099673717545e-07,7.167565987899014203e-03,7.167565997812567688e-03,0.000000000000000000e+00,9.283243400218739450e-02,9.283243400218743613e-02,9.913589537592176621e-12
7.070540674720037144e-07,6.986575919855513017e-03,6.986575929865269929e-03,0.000000000000000000e+00,9.301342407013468705e-02,9.301342407013472868e-02,1.000979290975328131e-11
7.070915988878990979e-07,6.986230963434556483e-03,6.986230973444498143e-03,0.000000000000000000e+00,9.301376902655546230e-02,9.301376902655550394e-02,1.000997862012289074e-11
7.205378400204841866e-07,6.864796897512796120e-03,6.864796907588689365e-03,0.000000000000000000e+00,9.313520309241127282e-02,9.313520309241131445e-02,1.007592940017318924e-11
7.407233087801943322e-07,6.690236198118577546e-03,6.690236208291352495e-03,0.000000000000000000e+00,9.330976379170860535e-02,9.330976379170864698e-02,1.017281135609438213e-11
7.547701646288820874e-07,6.573917027884104182e-03,6.573917038122853267e-03,0.000000000000000000e+00,9.342608296187709938e-02,9.342608296187714101e-02,1.023878644347009630e-11
7.614832603408143806e-07,6.519745982400586629e-03,6.519745992670461857e-03,0.000000000000000000e+00,9.348025400732951073e-02,9.348025400732955237e-02,1.026991207546648523e-11
7.743925500883849500e-07,6.418038031470700219e-03,6.418038041799716507e-03,0.000000000000000000e+00,9.358196195820024654e-02,9.358196195820028818e-02,1.032905342031483634e-11
7.906288466372763840e-07,6.294524938387481561e-03,6.294524948789586953e-03,0.000000000000000000e+00,9.370547505121037957e-02,9.370547505121042120e-02,1.040214205942425442e-11
8.080617913965756736e-07,6.167100400071002381e-03,6.167100410550031483e-03,0.000000000000000000e+00,9.383289958944993070e-02,9.383289958944997233e-02,1.047906689110538658e-11
8.158749217937297691e-07,6.111653510735930855e-03,6.111653521248932783e-03,0.000000000000000000e+00,9.388834647875103634e-02,9.388834647875107797e-02,1.051303867805216383e-11
8.281911533192974936e-07,6.026245857425514656e-03,6.026245867991453405e-03,0.000000000000000000e+00,9.397375413200850791e-02,9.397375413200854954e-02,1.056597481241082728e-11
8.417310327047662914e-07,5.935067203047991215e-03,5.935067213671277320e-03,0.000000000000000000e+00,9.406493278632868660e-02,9.406493278632872823e-02,1.062332305357342848e-11
8.675380228708308901e-07,5.768691027300574398e-03,5.768691038030805338e-03,0.000000000000000000e+00,9.423130896196915685e-02,9.423130896196919848e-02,1.073026760741351002e-11
8.702665832466450517e-07,5.751644336172188378e-03,5.751644346913550171e-03,0.000000000000000000e+00,9.424835565308641028e-02,9.424835565308645191e-02,1.074139898956511787e-11
8.754002740129569092e-07,5.719843716910142858e-03,5.719843727672359497e-03,0.000000000000000000e+00,9.428015627232760876e-02,9.428015627232765039e-02,1.076225332615724467e-11
9.087542388133519549e-07,5.521512024979197651e-03,5.521512035874158800e-03,0.000000000000000000e+00,9.447848796412580685e-02,9.447848796412584849e-02,1.089499832034289375e-11
9.090695153211475270e-07,5.519702854434566965e-03,5.519702865330760634e-03,0.000000000000000000e+00,9.448029713466921109e-02,9.448029713466925272e-02,1.089623100964721652e-11
9.246582446995603344e-07,5.431697214547633219e-03,5.431697225504279400e-03,0.000000000000000000e+00,9.456830277449568278e-02,9.456830277449572442e-02,1.095668368738825693e-11
9.427387566293382506e-07,5.333071393965050679e-03,5.333071404990617423e-03,0.000000000000000000e+00,9.466692859500934476e-02,9.466692859500938639e-02,1.102560436088297811e-11
9.519286126830599375e-07,5.284305111496840832e-03,5.284305122556960665e-03,0.000000000000000000e+00,9.471569487744301019e-02,9.471569487744305182e-02,1.106015633159047015e-11
9.764079979375288684e-07,5.158661901125847701e-03,5.158661912276483671e-03,0.000000000000000000e+00,9.484133808772347851e-02,9.484133808772352014e-02,1.115067275584610116e-11
9.790499061524757229e-07,5.145458466293476377e-03,5.145458477453752205e-03,0.000000000000000000e+00,9.485454152254621518e-02,9.485454152254625682e-02,1.116031263693967242e-11
9.971541753994635531e-07,5.056768178738102124e-03,5.056768189963780497e-03,0.000000000000000000e+00,9.494323181003619383e-02,9.494323181003623546e-02,1.122571522847056109e-11
1.010077239245719592e-06,4.995301052637048100e-03,4.995301063908727870e-03,0.000000000000000000e+00,9.500469893609124472e-02,9.500469893609128635e-02,1.127171570916943633e-11
1.033441567605391006e-06,4.887879223553250919e-03,4.887879234906696013e-03,0.000000000000000000e+00,9.511212076509327484e-02,9.511212076509331648e-02,1.135348148806714243e-11
1.043746480553910104e-06,4.841957181062701322e-03,4.841957192451651001e-03,0.000000000000000000e+00,9.515804280754831812e-02,9.515804280754835975e-02,1.138898682954738473e-11
1.044528377725774926e-06,4.838508066759988208e-03,4.838508078151618902e-03,0.000000000000000000e+00,9.516149192184834849e-02,9.516149192184839012e-02,1.139166719255450537e-11
1.077415721862100828e-06,4.697760277658576296e-03,4.697760289161249242e-03,0.000000000000000000e+00,9.530223971083873202e-02,9.530223971083877366e-02,1.150270939000881418e-11
1.087833229058306288e-06,4.654868427281191705e-03,4.654868438818366566e-03,0.000000000000000000e+00,9.534513156118161470e-02,9.534513156118165633e-02,1.153721072678086602e-11
1.094153300253057492e-06,4.629224876566750968e-03,4.629224888124703480e-03,0.000000000000000000e+00,9.537077511187527779e-02,9.537077511187531942e-02,1.155798906263983267e-11
1.111084963170291551e-06,4.561895218712665873e-03,4.561895230325725345e-03,0.000000000000000000e+00,9.543810476967425072e-02,9.543810476967429235e-02,1.161309611684530985e-11
1.142224890511221571e-06,4.443051054865642356e-03,4.443051066577990461e-03,0.000000000000000000e+00,9.555694893342198126e-02,9.555694893342202290e-02,1.171238437611295528e-11
1.144754204478482063e-06,4.433669772239476684e-03,4.433669783959775026e-03,0.000000000000000000e+00,9.556633021604020450e-02,9.556633021604024614e-02,1.172033497519070193e-11
1.146135873360593284e-06,4.428561851173837272e-03,4.428561862898471556e-03,0.000000000000000000e+00,9.557143813710150537e-02,9.557143813710154701e-02,1.172467099906468262e-11
1.178423445786672787e-06,4.312464565691146931e-03,4.312464577515709094e-03,0.000000000000000000e+00,9.568753542248427391e-02,9.568753542248431554e-02,1.182459904288471978e-11
1.196616551964136853e-06,4.249681240259416473e-03,4.249681252139139373e-03,0.000000000000000000e+00,9.575031874786084363e-02,9.575031874786088526e-02,1.187975965284460674e-11
1.200588107626449628e-06,4.236217473619927586e-03,4.236217485511585383e-03,0.000000000000000000e+00,9.576378251448838808e-02,9.576378251448842971e-02,1.189169449873984967e-11
1.212092687094863510e-06,4.197693673977288646e-03,4.197693685903306111e-03,0.000000000000000000e+00,9.580230631409666908e-02,9.580230631409671072e-02,1.192605442744479429e-11
1.245761928403054022e-06,4.088879528969343279e-03,4.088879540994149776e-03,0.000000000000000000e+00,9.591112045900582195e-02,9.591112045900587746e-02,1.202484343613005547e-11
1.251008213417052348e-06,4.072431384798009917e-03,4.072431396837977897e-03,0.000000000000000000e+00,9.592756860316199730e-02,9.592756860316203893e-02,1.204000532980743179e-11
1.257627335184689168e-06,4.051867126250794336e-03,4.051867138309805244e-03,0.000000000000000000e+00,9.594813286169016908e-02,9.594813286169021072e-02,1.205904793664209094e-11
1.279431169711244746e-06,3.985572875462206795e-03,3.985572887583271363e-03,0.000000000000000000e+00,9.601442711241670036e-02,9.601442711241674199e-02,1.212110212717325685e-11
1.305399874869967631e-06,3.909386192158735042e-03,3.909386204352396921e-03,0.000000000000000000e+00,9.609061379564758087e-02,9.609061379564762251e-02,1.219369962473179579e-11
1.313100411019435470e-06,3.887349536072701867e-03,3.887349548287625384e-03,0.000000000000000000e+00,9.611265045171235588e-02,9.611265045171239751e-02,1.221496084128346148e-11
1.317376462549343256e-06,3.875219649831515047e-03,3.875219662058193050e-03,0.000000000000000000e+00,9.612478033794177867e-02,9.612478033794182031e-02,1.222671535487558668e-11
1.346769652327625982e-06,3.793848209335228677e-03,3.793848221641726078e-03,0.000000000000000000e+00,9.620615177835825649e-02,9.620615177835829812e-02,1.230653500737791684e-11
1.359791536322882913e-06,3.758883255568086848e-03,3.758883267909411425e-03,0.000000000000000000e+00,9.624111673209057027e-02,9.624111673209061191e-02,1.234136213178504091e-11
1.379964235449889361e-06,3.705973577354122837e-03,3.705973589748770211e-03,0.000000000000000000e+00,9.629402641025121279e-02,9.629402641025125442e-02,1.239468509819227469e-11
1.380438893635816705e-06,3.704746542957563539e-03,3.704746555353456445e-03,0.000000000000000000e+00,9.629525344464652525e-02,9.629525344464656689e-02,1.239593071929075386e-11
1.414108134944007429e-06,3.619734152555403525e-03,3.619734165038617640e-03,0.000000000000000000e+00,9.638026583496135669e-02,9.638026583496139832e-02,1.248325105833617712e-11
1.414183197775798196e-06,3.619548968572707491e-03,3.619548981056113293e-03,0.000000000000000000e+00,9.638045101894386624e-02,9.638045101894390787e-02,1.248344348849366158e-11
1.445525516248906548e-06,3.543845839696225207e-03,3.543845852259132085e-03,0.000000000000000000e+00,9.645615414774084961e-02,9.645615414774089125e-02,1.256294434065404963e-11
1.447777376252197941e-06,3.538528620737843491e-03,3.538528633306398195e-03,0.000000000000000000e+00,9.646147136669357136e-02,9.646147136669361299e-02,1.256859204847227479e-11
1.468574859228713478e-06,3.490165749341067429e-03,3.490165761961385414e-03,0.000000000000000000e+00,9.650983423803859151e-02,9.650983423803863315e-02,1.262035517719701412e-11
1.481446617560388664e-06,3.460891348465132411e-03,3.460891361117133386e-03,0.000000000000000000e+00,9.653910863888284788e-02,9.653910863888288951e-02,1.265203832119527546e-11
1.514201574539679669e-06,3.388568440028641784e-03,3.388568452760082686e-03,0.000000000000000000e+00,9.661143154723988991e-02,9.661143154723993154e-02,1.273147848754605244e-11
1.515115858868579388e-06,3.386593043385004598e-03,3.386593056118639058e-03,0.000000000000000000e+00,9.661340694388133310e-02,9.661340694388137473e-02,1.273367199845976319e-11
1.522966520681628761e-06,3.369724581188201021e-03,3.369724593940618199e-03,0.000000000000000000e+00,9.663027540605935439e-02,9.663027540605939603e-02,1.275245469709479925e-11
1.548785100176769900e-06,3.315409709673746482e-03,3.315409722487282738e-03,0.000000000000000000e+00,9.668459027751269419e-02,9.668459027751273582e-02,1.281357390166830266e-11
1.577358182134544256e-06,3.257304089419339049e-03,3.257304102299377665e-03,0.000000000000000000e+00,9.674269589770059796e-02,9.674269589770063960e-02,1.288007610993013236e-11
1.582454341484960624e-06,3.247154383342966237e-03,3.247154396234742859e-03,0.000000000000000000e+00,9.675284560376522236e-02,9.675284560376526399e-02,1.289181443670847490e-11
1.586140391549923041e-06,3.239852539984541119e-03,3.239852552884785360e-03,0.000000000000000000e+00,9.676014744711518289e-02,9.676014744711522453e-02,1.290028196065501036e-11
1.616123582793151347e-06,3.181658646399658161e-03,3.181658659368079203e-03,0.000000000000000000e+00,9.681834134063188602e-02,9.681834134063192765e-02,1.296845879759459793e-11
1.631749843587459538e-06,3.152151947578031403e-03,3.152151960581499931e-03,0.000000000000000000e+00,9.684784803941846876e-02,9.684784803941851039e-02,1.300350616379774904e-11
1.649792824101341859e-06,3.118755732784368306e-03,3.118755745827902007e-03,0.000000000000000000e+00,9.688124425417206365e-02,9.688124425417210528e-02,1.304357167996658837e-11
1.661496979007543088e-06,3.097468422943883398e-03,3.097468436013180778e-03,0.000000000000000000e+00,9.690253156398678791e-02,9.690253156398682954e-02,1.306933498900302682e-11
