# t,Benzaldehyde(dcm),NButylamine(dcm),A_N(dcm),A_N_N(dcm),Water(dcm),A_N_W(dcm),A_N_N_W(dcm),A_N_W_W(dcm),TS1_#(dcm),Hemiaminal(dcm),TS2_#(dcm),I_W(dcm),TS1N_#(dcm),Int_N(dcm),TS2N_#(dcm),I_N_W(dcm),TS1W_#(dcm),Int_W(dcm),TS2W_#(dcm),I_W_W(dcm),TS1NW_#(dcm),Int_N_W(dcm),TS2NW_#(dcm),I_N_W_W(dcm),TS1WW_#(dcm),Int_W_W(dcm),TS2WW_#(dcm),I_W_W_W(dcm),Imine(dcm)
3.342077214233811489e-02,5.995859182160672568e-02,5.995855502823578542e-02,4.125283311716532023e-05,1.443941511768093539e-08,9.998731536683741136e-04,1.039189294308536636e-09,1.011674864930025055e-12,2.068881948558436925e-12,0.000000000000000000e+00,2.551141519018535942e-14,0.000000000000000000e+00,6.320831139451394763e-16,0.000000000000000000e+00,7.222622194500355593e-09,0.000000000000000000e+00,8.053433131569227442e-09,0.000000000000000000e+00,1.733966093494823007e-10,0.000000000000000000e+00,1.161227410105974811e-07,0.000000000000000000e+00,7.011549133216735856e-13,0.000000000000000000e+00,7.076187667485605760e-09,0.000000000000000000e+00,3.615652288332504116e-16,0.000000000000000000e+00,1.214482863758545593e-09,1.144878820062451228e-121
3.572174342529182978e-02,5.995808723246444372e-02,5.995804892050327073e-02,4.174772618544505452e-05,1.443904787505705668e-08,9.998644156506363533e-04,1.039162281765814693e-09,1.011640421731670825e-12,2.068810758436137566e-12,0.000000000000000000e+00,2.802460961113950494e-14,0.000000000000000000e+00,7.239184884997275800e-16,0.000000000000000000e+00,7.393410817866634554e-09,0.000000000000000000e+00,8.923289859286750594e-09,0.000000000000000000e+00,1.733920902208513943e-10,0.000000000000000000e+00,1.242180292628933845e-07,0.000000000000000000e+00,7.011310373839378919e-13,0.000000000000000000e+00,7.554499845646067713e-09,0.000000000000000000e+00,3.615527873873983582e-16,0.000000000000000000e+00,1.296707383540817413e-09,1.227228427316934627e-121
3.676284935657192499e-02,5.995788763886633621e-02,5.995784864081458304e-02,4.194293272110154565e-05,1.443890257259886285e-08,9.998604614872598495e-04,1.039151078558221636e-09,1.011626291229849349e-12,2.068780536566613823e-12,0.000000000000000000e+00,2.917100407116131148e-14,0.000000000000000000e+00,7.675317098907600779e-16,0.000000000000000000e+00,7.464112802630380837e-09,0.000000000000000000e+00,9.322771580207561600e-09,0.000000000000000000e+00,1.733902161948807574e-10,0.000000000000000000e+00,1.278818724899590802e-07,0.000000000000000000e+00,7.011212422290869349e-13,0.000000000000000000e+00,7.770552054601389900e-09,0.000000000000000000e+00,3.615475057032149507e-16,0.000000000000000000e+00,1.333847934646785300e-09,1.264545697282655569e-121
4.010492657080573509e-02,5.995734845338600294e-02,5.995730725723139726e-02,4.246803542093068842e-05,1.443850989776046182e-08,9.998477658363070196e-04,1.039118717473911706e-09,1.011586070553685791e-12,2.068690552041315808e-12,0.000000000000000000e+00,3.288383187343856322e-14,0.000000000000000000e+00,9.162101236510655316e-16,0.000000000000000000e+00,7.666399897294334284e-09,0.000000000000000000e+00,1.062696387058379466e-08,0.000000000000000000e+00,1.733848038998742660e-10,0.000000000000000000e+00,1.396476230384976638e-07,0.000000000000000000e+00,7.010933618519053197e-13,0.000000000000000000e+00,8.462568260931064335e-09,0.000000000000000000e+00,3.615317796798051595e-16,0.000000000000000000e+00,1.452809044322640673e-09,1.384553331341135865e-121
4.106361006051856277e-02,5.995721823169045811e-02,5.995717640623504652e-02,4.259421749335021276e-05,1.443841501683500474e-08,9.998441233900021586e-04,1.039110301831319596e-09,1.011575770491175404e-12,2.068666432122950266e-12,0.000000000000000000e+00,3.395675362968164764e-14,0.000000000000000000e+00,9.612997693825450633e-16,0.000000000000000000e+00,7.718137766955801408e-09,0.000000000000000000e+00,1.100654657964208750e-08,0.000000000000000000e+00,1.733833966582362578e-10,0.000000000000000000e+00,1.430239040487391426e-07,0.000000000000000000e+00,7.010862220785306922e-13,0.000000000000000000e+00,8.660643395393782964e-09,0.000000000000000000e+00,3.615275643951557159e-16,0.000000000000000000e+00,1.486859068718371286e-09,1.419032641972906072e-121
4.344700378503954519e-02,5.995693401933858274e-02,5.995689063177114808e-02,4.286838699811747487e-05,1.443820785215555912e-08,9.998350665426855577e-04,1.039090781831471283e-09,1.011552164174537791e-12,2.068609203266271232e-12,0.000000000000000000e+00,3.663691216643452026e-14,0.000000000000000000e+00,1.078110154243380877e-15,0.000000000000000000e+00,7.835949295081792733e-09,0.000000000000000000e+00,1.195944823741637385e-08,0.000000000000000000e+00,1.733801330204056337e-10,0.000000000000000000e+00,1.514201501016098376e-07,0.000000000000000000e+00,7.010698588472200760e-13,0.000000000000000000e+00,9.152249432099941349e-09,0.000000000000000000e+00,3.615175628722847609e-16,0.000000000000000000e+00,1.571368151280135361e-09,1.504846526502319289e-121
4.678908099927336223e-02,5.995661555952959409e-02,5.995656998732340481e-02,4.317276461450875169e-05,1.443797552861867947e-08,9.998223634763360890e-04,1.039066249718513596e-09,1.011523114411429507e-12,2.068534494117148478e-12,0.000000000000000000e+00,4.042095919134659714e-14,0.000000000000000000e+00,1.253216598111014680e-15,0.000000000000000000e+00,7.977947567077007453e-09,0.000000000000000000e+00,1.331496338309315656e-08,0.000000000000000000e+00,1.733760323513073901e-10,0.000000000000000000e+00,1.631995698073879445e-07,0.000000000000000000e+00,7.010497226811025194e-13,0.000000000000000000e+00,9.839607146161672291e-09,0.000000000000000000e+00,3.615045064305289292e-16,0.000000000000000000e+00,1.689527031729628313e-09,1.625380949853896987e-121
4.720430498385022600e-02,5.995658146489912799e-02,5.995653562174733942e-02,4.320510967319452086e-05,1.443795063907978320e-08,9.998207849618229778e-04,1.039063395784657382e-09,1.011519782035015798e-12,2.068525590440926516e-12,0.000000000000000000e+00,4.089285937763258675e-14,0.000000000000000000e+00,1.275893486998437379e-15,0.000000000000000000e+00,7.993898662601919880e-09,0.000000000000000000e+00,1.348474628791610374e-08,0.000000000000000000e+00,1.733755553752635125e-10,0.000000000000000000e+00,1.646635464959877049e-07,0.000000000000000000e+00,7.010474128313658547e-13,0.000000000000000000e+00,9.924843634518224768e-09,0.000000000000000000e+00,3.615029503918305332e-16,0.000000000000000000e+00,1.704179376975806723e-09,1.640371154943590282e-121
5.013115821350717233e-02,5.995636941438057393e-02,5.995632166438043253e-02,4.340482782174069463e-05,1.443779573895694217e-08,9.998096565271203696e-04,1.039044280987374066e-09,1.011497722899743573e-12,2.068464783550493879e-12,0.000000000000000000e+00,4.422833852989668980e-14,0.000000000000000000e+00,1.441510896343135152e-15,0.000000000000000000e+00,8.096966801524163640e-09,0.000000000000000000e+00,1.468887279730726657e-08,0.000000000000000000e+00,1.733723611390441794e-10,0.000000000000000000e+00,1.749859790164323921e-07,0.000000000000000000e+00,7.010321225899914205e-13,0.000000000000000000e+00,1.052465227855204047e-08,0.000000000000000000e+00,3.614923235596699109e-16,0.000000000000000000e+00,1.807287379998854751e-09,1.746117491466466441e-121
5.347323542774098243e-02,5.995617880515243664e-02,5.995612888425431303e-02,4.358135533988187639e-05,1.443765629421001987e-08,9.997969456133611130e-04,1.039024279843816963e-09,1.011475139822764628e-12,2.068398907806619341e-12,0.000000000000000000e+00,4.805363605725143143e-14,0.000000000000000000e+00,1.642969525938812555e-15,0.000000000000000000e+00,8.196664996852888422e-09,0.000000000000000000e+00,1.607746959037666656e-08,0.000000000000000000e+00,1.733690195678101704e-10,0.000000000000000000e+00,1.867794470177013885e-07,0.000000000000000000e+00,7.010164694404736248e-13,0.000000000000000000e+00,1.120739475166610551e-08,0.000000000000000000e+00,3.614808108767290260e-16,0.000000000000000000e+00,1.924650778877295597e-09,1.867024825357316908e-121
